policy,enabled,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps
A_current,true,ret_1s_bps,281,43,26,212,0.15302491103202848,0.09252669039145907,0.7544483985765125,-0.022023307254736682,-0.0
A_current,true,ret_3s_bps,281,66,65,150,0.23487544483985764,0.2313167259786477,0.5338078291814946,-0.13277640082339937,-0.0
A_current,true,ret_5s_bps,281,77,59,145,0.27402135231316727,0.2099644128113879,0.5160142348754448,0.03993438935151218,0.043223523969663696
B_overlap_quote_fade_only,false,ret_1s_bps,109,25,17,67,0.22935779816513763,0.1559633027522936,0.6146788990825688,-0.04156957476304557,-0.0
B_overlap_quote_fade_only,false,ret_3s_bps,109,36,40,33,0.3302752293577982,0.3669724770642202,0.30275229357798167,-0.0969991418074954,-0.08645938030231305
B_overlap_quote_fade_only,false,ret_5s_bps,109,32,38,39,0.29357798165137616,0.3486238532110092,0.3577981651376147,-0.1038018076324821,-0.19452771917047232
B_overlap_quote_fade_only,true,ret_1s_bps,172,18,9,145,0.10465116279069768,0.05232558139534884,0.8430232558139535,-0.0032009755800688623,0.0
B_overlap_quote_fade_only,true,ret_3s_bps,172,30,25,117,0.1744186046511628,0.14534883720930233,0.6802325581395349,-0.16949516665551134,0.0
B_overlap_quote_fade_only,true,ret_5s_bps,172,45,21,106,0.2616279069767442,0.12209302325581395,0.6162790697674418,0.17232299183677005,0.043223523969663696
C_overlap_or_strong_tfi,false,ret_1s_bps,73,22,14,37,0.3013698630136986,0.1917808219178082,0.5068493150684932,-0.03209990789405176,-0.0
C_overlap_or_strong_tfi,false,ret_3s_bps,73,32,32,9,0.4383561643835616,0.4383561643835616,0.1232876712328767,-0.06157927399672014,-0.0
C_overlap_or_strong_tfi,false,ret_5s_bps,73,25,33,15,0.3424657534246575,0.4520547945205479,0.2054794520547945,-0.10813068901508995,-0.4754752050492326
C_overlap_or_strong_tfi,true,ret_1s_bps,208,21,12,175,0.10096153846153846,0.057692307692307696,0.8413461538461539,-0.014872171317158235,0.0
C_overlap_or_strong_tfi,true,ret_3s_bps,208,34,33,141,0.16346153846153846,0.15865384615384615,0.6778846153846154,-0.18617424594340884,0.0
C_overlap_or_strong_tfi,true,ret_5s_bps,208,52,26,130,0.25,0.125,0.625,0.13752273645677265,0.043223523969663696
