group_type,reason,trade_side,return_horizon,count,mean,median,positive_ratio,negative_ratio
reason,cancel_aggressive,,ret_1s_bps,159,-0.02635015064953938,0.0,0.16981132075471697,0.2641509433962264
reason,cancel_aggressive,,ret_3s_bps,154,0.012677254662530434,0.0,0.44805194805194803,0.4025974025974026
reason,cancel_aggressive,,ret_5s_bps,146,0.010422080344111581,0.043223523969663696,0.5205479452054794,0.410958904109589
reason_trade_side,cancel_aggressive,buy,ret_1s_bps,67,-0.05739835676701414,0.0,0.22388059701492538,0.208955223880597
reason_trade_side,cancel_aggressive,buy,ret_3s_bps,64,-0.14449428522479546,0.0,0.4375,0.375
reason_trade_side,cancel_aggressive,buy,ret_5s_bps,58,0.06337969461690576,0.043223523969663696,0.5862068965517241,0.29310344827586204
reason_trade_side,cancel_aggressive,sell,ret_1s_bps,92,-0.003738957063987116,0.0,0.13043478260869565,0.30434782608695654
reason_trade_side,cancel_aggressive,sell,ret_3s_bps,90,0.12444368302685106,0.0,0.45555555555555555,0.4222222222222222
reason_trade_side,cancel_aggressive,sell,ret_5s_bps,88,-0.02448180179023004,0.0,0.4772727272727273,0.48863636363636365
reason,quote_fade,,ret_1s_bps,52,-0.0001631323738583923,0.0,0.15384615384615385,0.1346153846153846
reason,quote_fade,,ret_3s_bps,49,-1.0364920730600085,0.0,0.30612244897959184,0.30612244897959184
reason,quote_fade,,ret_5s_bps,49,-0.6413441937370252,0.0,0.40816326530612246,0.3469387755102041
reason_trade_side,quote_fade,,ret_1s_bps,52,-0.0001631323738583923,0.0,0.15384615384615385,0.1346153846153846
reason_trade_side,quote_fade,,ret_3s_bps,49,-1.0364920730600085,0.0,0.30612244897959184,0.30612244897959184
reason_trade_side,quote_fade,,ret_5s_bps,49,-0.6413441937370252,0.0,0.40816326530612246,0.3469387755102041
