policy,leg,quote_count,allowed_count,suppressed_count,allowed_ratio,suppressed_ratio,mean_lifetime_all,median_lifetime_all,mean_lifetime_allowed,median_lifetime_allowed,cancel_aggressive_end_all,cancel_aggressive_end_allowed,quote_fade_end_all,quote_fade_end_allowed,tfi_fade_end_all,tfi_fade_end_allowed,mean_tfi_abs_allowed,median_tfi_abs_allowed,mean_cancel_density_allowed,median_cancel_density_allowed,mean_guard_count_allowed,median_guard_count_allowed
A_current,bid,54,54,0,1.0,0.0,0.2809751762284173,0.2526359558105469,0.2809751762284173,0.2526359558105469,29,29,2,2,5,5,0.7413030799883996,0.8506569226048084,2.677777777777777,3.2,18.61111111111111,20.0
A_current,ask,38,38,0,1.0,0.0,0.2806541191207038,0.2523847818374634,0.2806541191207038,0.2523847818374634,29,29,2,2,5,5,0.6469365931076939,0.7581426660450279,3.084210526315789,3.4,18.026315789473685,20.0
A_current,all,92,92,0,1.0,0.0,0.28081464767456055,0.2523847818374634,0.28081464767456055,0.2523847818374634,58,58,4,4,10,10,0.7023256180159343,0.8253867344776437,2.845652173913043,3.2,18.369565217391305,20.0
B_tfi_abs_lte_0p5,bid,54,11,43,0.2037037037037037,0.7962962962962963,0.2809751762284173,0.2526359558105469,0.3483665639703924,0.25795531272888184,29,10,2,1,5,0,0.24102487614233556,0.2021498954911912,3.436363636363637,3.6,18.363636363636363,19.0
B_tfi_abs_lte_0p5,ask,38,11,27,0.2894736842105263,0.7105263157894737,0.2806541191207038,0.2523847818374634,0.34790596094998444,0.25795531272888184,29,10,2,1,5,0,0.24102487614233556,0.2021498954911912,3.436363636363637,3.6,18.363636363636363,19.0
B_tfi_abs_lte_0p5,all,92,22,70,0.2391304347826087,0.7608695652173914,0.28081464767456055,0.2523847818374634,0.3481362624601884,0.25795531272888184,58,20,4,2,10,0,0.2410248761423355,0.2021498954911912,3.4363636363636356,3.6,18.363636363636363,19.0
C_tfi_abs_lte_0p6,bid,54,15,39,0.2777777777777778,0.7222222222222222,0.2809751762284173,0.2526359558105469,0.3220579942067464,0.2555234432220459,29,14,2,1,5,0,0.32296727377647305,0.3084370677731673,3.4799999999999995,3.6,18.6,19.0
C_tfi_abs_lte_0p6,ask,38,15,23,0.39473684210526316,0.6052631578947368,0.2806541191207038,0.2523847818374634,0.32168672879536947,0.25452446937561035,29,14,2,1,5,0,0.32296727377647305,0.3084370677731673,3.4799999999999995,3.6,18.6,19.0
C_tfi_abs_lte_0p6,all,92,30,62,0.32608695652173914,0.6739130434782609,0.28081464767456055,0.2523847818374634,0.32187236150105797,0.2550239562988281,58,28,4,2,10,0,0.3229672737764731,0.3084370677731673,3.4799999999999986,3.6,18.6,19.0
D_cancel_density_lte_1p0,bid,54,9,45,0.16666666666666666,0.8333333333333334,0.2809751762284173,0.2526359558105469,0.24625523885091147,0.24472284317016602,29,1,2,0,5,2,0.9753086419753085,0.9629629629629629,0.5555555555555555,0.6,14.0,20.0
D_cancel_density_lte_1p0,ask,38,3,35,0.07894736842105263,0.9210526315789473,0.2806541191207038,0.2523847818374634,0.2459262212117513,0.24454188346862793,29,1,2,0,5,2,1.0,1.0,0.0,0.0,2.0,2.0
D_cancel_density_lte_1p0,all,92,12,80,0.13043478260869565,0.8695652173913043,0.28081464767456055,0.2523847818374634,0.2460907300313314,0.24463236331939697,58,2,4,0,10,4,0.9814814814814817,0.9814814814814814,0.4166666666666666,0.3,11.0,11.5
E_cancel_density_lte_2p0,bid,54,13,41,0.24074074074074073,0.7592592592592593,0.2809751762284173,0.2526359558105469,0.24625523885091147,0.24472284317016602,29,1,2,0,5,2,0.9715099715099716,0.9629629629629629,0.8923076923076925,1.0,15.846153846153847,20.0
E_cancel_density_lte_2p0,ask,38,3,35,0.07894736842105263,0.9210526315789473,0.2806541191207038,0.2523847818374634,0.2459262212117513,0.24454188346862793,29,1,2,0,5,2,1.0,1.0,0.0,0.0,2.0,2.0
E_cancel_density_lte_2p0,all,92,16,76,0.17391304347826086,0.8260869565217391,0.28081464767456055,0.2523847818374634,0.2460907300313314,0.24463236331939697,58,2,4,0,10,4,0.9768518518518522,0.9629629629629629,0.7250000000000001,0.7,13.25,20.0
F_guard_count_lte_5,bid,54,3,51,0.05555555555555555,0.9444444444444444,0.2809751762284173,0.2526359558105469,0.24625523885091147,0.24472284317016602,29,1,2,0,5,2,1.0,1.0,0.0,0.0,2.0,2.0
F_guard_count_lte_5,ask,38,3,35,0.07894736842105263,0.9210526315789473,0.2806541191207038,0.2523847818374634,0.2459262212117513,0.24454188346862793,29,1,2,0,5,2,1.0,1.0,0.0,0.0,2.0,2.0
F_guard_count_lte_5,all,92,6,86,0.06521739130434782,0.9347826086956522,0.28081464767456055,0.2523847818374634,0.2460907300313314,0.24463236331939697,58,2,4,0,10,4,1.0,1.0,0.0,0.0,2.0,2.0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,bid,54,0,54,0.0,1.0,0.2809751762284173,0.2526359558105469,,,29,0,2,0,5,0,,,,,,
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,ask,38,0,38,0.0,1.0,0.2806541191207038,0.2523847818374634,,,29,0,2,0,5,0,,,,,,
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,all,92,0,92,0.0,1.0,0.28081464767456055,0.2523847818374634,,,58,0,4,0,10,0,,,,,,
H_tfi_abs_lte_0p6_and_guard_count_lte_5,bid,54,0,54,0.0,1.0,0.2809751762284173,0.2526359558105469,,,29,0,2,0,5,0,,,,,,
H_tfi_abs_lte_0p6_and_guard_count_lte_5,ask,38,0,38,0.0,1.0,0.2806541191207038,0.2523847818374634,,,29,0,2,0,5,0,,,,,,
H_tfi_abs_lte_0p6_and_guard_count_lte_5,all,92,0,92,0.0,1.0,0.28081464767456055,0.2523847818374634,,,58,0,4,0,10,0,,,,,,
