leg,aggressive_vs_best,directional_alignment,end_reason,count,mean_quote_distance_from_mid_bps,median_quote_distance_from_mid_bps,mean_quote_distance_from_micro_bps,median_quote_distance_from_micro_bps,mean_quote_distance_from_best_bps,median_quote_distance_from_best_bps,mean_tfi,median_tfi,mean_obi,median_obi,mean_lifetime_sec,median_lifetime_sec,cancel_aggressive_end_count,quote_fade_end_count,tfi_fade_end_count
ask,passive_inside_book,against_flow,cancel_aggressive,10,34.881637170174905,35.81160107588353,34.75020639640135,35.809941291970915,34.37165959638914,35.325927084893934,0.8486526127020653,0.8506569226048084,0.2083165259072087,0.6633682404024692,0.2498100519180298,0.2526061534881592,10,0,0
ask,passive_inside_book,against_flow,quote_fade,1,29.29084969442639,29.29084969442639,29.307874368468557,29.307874368468557,31.13672878133725,31.13672878133725,0.8253867344776437,0.8253867344776437,-0.3748219038146188,-0.3748219038146188,0.26114821434020996,0.26114821434020996,0,1,0
ask,passive_inside_book,against_flow,tfi_fade,3,29.00219879820104,28.98776625338948,29.015943494930298,28.995460916460658,30.225494336474426,30.573755938280616,0.8253867344776437,0.8253867344776437,-0.7005600056151144,-0.7396421525273829,0.255844513575236,0.260361909866333,0,0,3
ask,passive_inside_book,neutral,cancel_aggressive,14,16.73564051302574,17.45844763705702,16.726988643144306,17.4488145823738,16.195804959913573,16.838919010036022,-0.0393937537569758,-0.1469552019545374,0.32142543564679726,0.7133090402801667,0.32703040327344624,0.2562398910522461,14,0,0
ask,passive_inside_book,neutral,quote_fade,1,15.468955295366591,15.468955295366591,15.490536521234079,15.490536521234079,15.447347414294953,15.447347414294953,-0.40263954997836404,-0.40263954997836404,-0.9872134038800706,-0.9872134038800706,0.24687528610229492,0.24687528610229492,0,1,0
ask,passive_inside_book,with_flow,,2,15.056460466554219,15.056460466554219,15.075269122725867,15.075269122725867,15.034763784271401,15.034763784271401,-0.9722222222222223,-0.9722222222222223,-0.826229993848054,-0.826229993848054,,,0,0,0
ask,passive_inside_book,with_flow,cancel_aggressive,5,12.91768405744035,12.283548494019781,12.928024851752635,12.295077110194647,13.37350782512317,13.305825958061547,-0.8013127844139205,-0.762645914396887,-0.5475489881551665,-0.833215284249767,0.2516456604003906,0.25104713439941406,5,0,0
ask,passive_inside_book,with_flow,tfi_fade,2,12.72575775611152,12.72575775611152,12.710905271481963,12.710905271481963,11.967365664698772,11.967365664698772,-1.0,-1.0,0.8288522746192108,0.8288522746192108,0.246618390083313,0.246618390083313,0,0,2
bid,passive_inside_book,against_flow,cancel_aggressive,5,33.83808882012263,32.69737055936587,33.827797392691885,32.67966016711404,33.34116782809451,32.67577312439313,-0.8013127844139205,-0.762645914396887,-0.5475489881551665,-0.833215284249767,0.2520453453063965,0.2520468235015869,5,0,0
bid,passive_inside_book,against_flow,tfi_fade,2,32.2472432935475,32.2472432935475,32.262029066991396,32.262029066991396,32.959090043454964,32.959090043454964,-1.0,-1.0,0.8288522746192108,0.8288522746192108,0.24711191654205322,0.24711191654205322,0,0,2
bid,passive_inside_book,neutral,cancel_aggressive,14,18.40145759103461,18.451339178773566,18.41007812392752,18.46097746061361,18.896234057108547,18.71613804243951,-0.0393937537569758,-0.1469552019545374,0.32142543564679726,0.7133090402801667,0.3273566620690482,0.25673937797546387,14,0,0
bid,passive_inside_book,neutral,quote_fade,1,20.5174009566162,20.5174009566162,20.495897273766005,20.495897273766005,20.4958706214348,20.4958706214348,-0.40263954997836404,-0.40263954997836404,-0.9872134038800706,-0.9872134038800706,0.24787664413452148,0.24787664413452148,0,1,0
bid,passive_inside_book,with_flow,,18,17.607460366889196,17.675000920573634,17.617550669577344,17.68338717614509,17.585838110514285,17.653378618401298,0.9661789014292042,0.9629629629629629,0.541107607630858,0.4664388010506903,,,0,0,0
bid,passive_inside_book,with_flow,cancel_aggressive,10,17.333960999107845,17.415468397951265,17.4646849974551,17.525836846885603,17.798352088427784,17.837752525489517,0.8486526127020653,0.8506569226048084,0.2083165259072087,0.6633682404024692,0.25011041164398196,0.2526061534881592,10,0,0
bid,passive_inside_book,with_flow,quote_fade,1,15.695392482231732,15.695392482231732,15.678444172124056,15.678444172124056,13.814547281260719,13.814547281260719,0.8253867344776437,0.8253867344776437,-0.3748219038146188,-0.3748219038146188,0.26114821434020996,0.26114821434020996,0,1,0
bid,passive_inside_book,with_flow,tfi_fade,3,16.012908468079548,16.085071192136045,15.999225447080654,16.07741111084978,14.751866519373104,14.377522562315775,0.8253867344776437,0.8253867344776437,-0.7005600056151144,-0.7396421525273829,0.255844513575236,0.260361909866333,0,0,3
