scenario,policy,leg,quote_count,would_suppress_count,would_suppress_ratio,kept_quote_count,kept_quote_ratio,mean_lifetime_sec_all,median_lifetime_sec_all,mean_lifetime_sec_kept,median_lifetime_sec_kept,cancel_aggressive_end_all,cancel_aggressive_end_kept,quote_fade_end_all,quote_fade_end_kept,tfi_fade_end_all,tfi_fade_end_kept
15bps,A_current,bid,14,0,0.0,14,1.0,0.25116217136383057,0.24974143505096436,0.25116217136383057,0.24974143505096436,8,8,1,1,5,5
15bps,A_current,ask,14,0,0.0,14,1.0,0.2510202612195696,0.24974143505096436,0.2510202612195696,0.24974143505096436,8,8,1,1,5,5
15bps,A_current,all,28,0,0.0,28,1.0,0.2510912162917001,0.24974143505096436,0.2510912162917001,0.24974143505096436,16,16,2,2,10,10
15bps,B_tfi_0p6,bid,14,4,0.2857142857142857,10,0.7142857142857143,0.25116217136383057,0.24974143505096436,0.2525457859039307,0.25108861923217773,8,6,1,1,5,3
15bps,B_tfi_0p6,ask,14,7,0.5,7,0.5,0.2510202612195696,0.24974143505096436,0.24640512466430664,0.24950098991394043,8,5,1,0,5,2
15bps,B_tfi_0p6,all,28,11,0.39285714285714285,17,0.6071428571428571,0.2510912162917001,0.24974143505096436,0.2500172783346737,0.2495746612548828,16,11,2,1,10,5
15bps,C_tfi_0p7,bid,14,1,0.07142857142857142,13,0.9285714285714286,0.25116217136383057,0.24974143505096436,0.2510941211993878,0.2495746612548828,8,7,1,1,5,5
15bps,C_tfi_0p7,ask,14,6,0.42857142857142855,8,0.5714285714285714,0.2510202612195696,0.24974143505096436,0.24673983454704285,0.24929189682006836,8,6,1,0,5,2
15bps,C_tfi_0p7,all,28,7,0.25,21,0.75,0.2510912162917001,0.24974143505096436,0.2494353453318278,0.24950098991394043,16,13,2,1,10,7
15bps,D_tfi_0p8,bid,14,1,0.07142857142857142,13,0.9285714285714286,0.25116217136383057,0.24974143505096436,0.2510941211993878,0.2495746612548828,8,7,1,1,5,5
15bps,D_tfi_0p8,ask,14,6,0.42857142857142855,8,0.5714285714285714,0.2510202612195696,0.24974143505096436,0.24673983454704285,0.24929189682006836,8,6,1,0,5,2
15bps,D_tfi_0p8,all,28,7,0.25,21,0.75,0.2510912162917001,0.24974143505096436,0.2494353453318278,0.24950098991394043,16,13,2,1,10,7
18bps,A_current,bid,22,0,0.0,22,1.0,0.2999470884149725,0.25673937797546387,0.2999470884149725,0.25673937797546387,21,21,1,1,0,0
18bps,A_current,ask,22,0,0.0,22,1.0,0.29951202869415283,0.2562398910522461,0.29951202869415283,0.2562398910522461,21,21,1,1,0,0
18bps,A_current,all,44,0,0.0,44,1.0,0.2997295585545627,0.25673937797546387,0.2997295585545627,0.25673937797546387,42,42,2,2,0,0
18bps,B_tfi_0p6,bid,22,2,0.09090909090909091,20,0.9090909090909091,0.2999470884149725,0.25673937797546387,0.3049666523933411,0.25673937797546387,21,19,1,1,0,0
18bps,B_tfi_0p6,ask,22,6,0.2727272727272727,16,0.7272727272727273,0.29951202869415283,0.2562398910522461,0.31797540187835693,0.2585124969482422,21,15,1,1,0,0
18bps,B_tfi_0p6,all,44,8,0.18181818181818182,36,0.8181818181818182,0.2997295585545627,0.25673937797546387,0.3107483188311259,0.25795531272888184,42,34,2,2,0,0
18bps,C_tfi_0p7,bid,22,2,0.09090909090909091,20,0.9090909090909091,0.2999470884149725,0.25673937797546387,0.3049666523933411,0.25673937797546387,21,19,1,1,0,0
18bps,C_tfi_0p7,ask,22,5,0.22727272727272727,17,0.7727272727272727,0.29951202869415283,0.2562398910522461,0.3147091444800882,0.25906968116760254,21,16,1,1,0,0
18bps,C_tfi_0p7,all,44,7,0.1590909090909091,37,0.8409090909090909,0.2997295585545627,0.25673937797546387,0.30944293254130595,0.25795531272888184,42,35,2,2,0,0
18bps,D_tfi_0p8,bid,22,2,0.09090909090909091,20,0.9090909090909091,0.2999470884149725,0.25673937797546387,0.3049666523933411,0.25673937797546387,21,19,1,1,0,0
18bps,D_tfi_0p8,ask,22,4,0.18181818181818182,18,0.8181818181818182,0.29951202869415283,0.2562398910522461,0.3117787440617879,0.25993263721466064,21,17,1,1,0,0
18bps,D_tfi_0p8,all,44,6,0.13636363636363635,38,0.8636363636363636,0.2997295585545627,0.25673937797546387,0.3081934326573422,0.2585124969482422,42,36,2,2,0,0
