policy,end_reason,leg,quote_count,mean_lifetime_sec,median_lifetime_sec,p75_lifetime_sec,p90_lifetime_sec,quote_fade_end_count,order_cancel_quote_count,quote_fade_suppressed_count,mean_directional_ret_1s_bps,mean_directional_ret_3s_bps,mean_directional_ret_5s_bps,danger_after_suppression_ratio_1s,danger_after_suppression_ratio_3s,danger_after_suppression_ratio_5s
current,all,all,990,0.7765872768062329,0.5169292688369751,1.030332088470459,1.7706248760223393,753,235,0,0.08357329553546394,0.10187919465808,0.08278973709452572,,,
current,open_or_unknown,ask,1,,,,,0,0,,,,,,,
current,open_or_unknown,bid,1,,,,,0,0,,,,,,,
current,order_cancel:quote,ask,89,1.0412482465251107,0.7846078872680664,1.5412657260894775,1.9170834064483646,0,89,,,,,,,
current,order_cancel:quote,bid,146,0.402504125686541,0.0009995698928833008,0.5199729800224304,1.2981640100479126,0,146,,,,,,,
current,quote_fade,ask,407,0.8419418053779321,0.5271661281585693,1.046945333480835,1.7826874732971194,407,0,,0.09696829246492399,0.08351966978848731,0.055958638533312614,,,
current,quote_fade,bid,346,0.7894832901871962,0.523393988609314,1.0199921131134033,1.6623460054397583,346,0,,0.06780990784456314,0.1234943329493156,0.11440649943420085,,,
threshold_8bps,all,all,640,1.4261117949381144,0.7840762138366699,1.8174276947975159,3.6333825111389166,544,94,538,0.022643397284191936,0.07031060736604493,0.06389550055324664,0.05790645879732739,0.1603563474387528,0.1870824053452116
threshold_8bps,open_or_unknown,ask,1,,,,,0,0,,0.0,0.0,,0.0,0.0,0.0
threshold_8bps,open_or_unknown,bid,1,,,,,0,0,,0.0,0.0,,0.0,0.0,0.0
threshold_8bps,order_cancel:quote,ask,33,1.739511995604544,1.0221278667449951,2.015657663345337,4.0710443496704105,0,33,,-0.008322662702703224,0.013307774225361823,-0.016646686392905168,0.07692307692307693,0.19230769230769232,0.23076923076923078
threshold_8bps,order_cancel:quote,bid,61,0.7391757808747839,0.0010080337524414062,0.7794303894042969,2.015657663345337,0,61,,-0.012365184557616324,-0.015907488892842183,-0.047695896079574494,0.061224489795918366,0.16326530612244897,0.20408163265306123
threshold_8bps,quote_fade,ask,286,1.5188180691712385,0.7920421361923218,1.850544512271881,3.844323515892029,286,0,,0.02707983795815384,0.07671364479966682,0.07701485033452184,0.05641025641025641,0.15897435897435896,0.18461538461538463
threshold_8bps,quote_fade,bid,258,1.4456734065861665,0.7885524034500122,1.8362075090408325,3.6249316930770874,258,0,,0.027670540042808802,0.08587693638565527,0.07866271473217486,0.05649717514124294,0.15819209039548024,0.1807909604519774
threshold_10bps,all,all,584,1.6091945972900652,0.9984602928161621,2.233506202697754,3.4926414012908933,459,124,623,0.00852889584412169,0.04997525951677797,0.10822158584504965,0.03167420814479638,0.08823529411764706,0.167420814479638
threshold_10bps,open_or_unknown,ask,1,,,,,0,0,,,,,0.0,0.0,0.0
threshold_10bps,order_cancel:quote,ask,46,2.0337367316950923,1.375880479812622,2.552528977394104,3.8745511770248413,0,46,,-0.032141631390837706,-0.041875884358320445,-0.017371326870978455,0.0625,0.125,0.15625
threshold_10bps,order_cancel:quote,bid,78,1.080905217390794,0.0010012388229370117,1.4409737586975098,2.860201263427734,0,78,,-0.028329382310038984,-0.06959754907759824,-0.055183103496808814,0.07547169811320754,0.09433962264150944,0.11320754716981132
threshold_10bps,quote_fade,ask,245,1.6939480149016088,1.0297279357910156,2.244675397872925,3.5009792327880858,245,0,,0.013767331193450274,0.06532346581068871,0.12660283088844593,0.020942408376963352,0.07853403141361257,0.16753926701570682
threshold_10bps,quote_fade,bid,214,1.6134611680128863,1.0052461624145508,2.0139986872673035,3.42069952487946,214,0,,0.01737936382409643,0.07377636705209575,0.14372635922020635,0.024242424242424242,0.09090909090909091,0.18787878787878787
